Unnamed: 0,rmse,mean,median,std,min,max,sse
freiburg1_desk_baseline_ape.zip,0.0269780212750965,0.0207578179481492,0.0170422664815894,0.0172315590110428,0.0044200276410973,0.1183078243545131,0.0880654494622667
freiburg1_desk_clahe_ape.zip,0.0139606268791367,0.0115936786410005,0.0098059327203454,0.0077772564846277,0.002007141128715,0.0482483774829975,0.024947085165885
freiburg1_desk_mertens_ape.zip,0.0145963472759703,0.0123290931099025,0.0106387289190734,0.0078132462451968,0.0018723385258209,0.0419734482533441,0.0272708292864931
freiburg1_desk_proposed_ape.zip,0.0147244045097647,0.0122061136975451,0.00996315308998,0.0082352217073847,0.0019445404659677,0.0589455258560315,0.0275346271972318
freiburg1_desk_reinhard_ape.zip,0.0066697380341441,0.0058964645625705,0.0051925658625912,0.0031172281126761,0.0016987253101257,0.0145143811854715,0.0018683870286525
freiburg1_room_baseline_ape.zip,0.0053524389307417,0.0046132419603536,0.003884545099695,0.0027141483236095,0.0014841726774254,0.0119828826439902,0.000544323447639
freiburg1_room_clahe_ape.zip,0.0060101317610246,0.0054178418200958,0.0053994177663794,0.0026016675032174,0.0009903607952497,0.0122046248889733,0.0006501903081277
freiburg1_room_mertens_ape.zip,0.0077628590962811,0.0070378004026336,0.006533474063856,0.0032758734470986,0.002480128949988,0.016997797266479,0.0017475974591127
freiburg1_room_proposed_ape.zip,0.0040627910427047,0.0038391679029151,0.0040763708677051,0.001329308417903,0.0020151464469663,0.0072325937810343,0.0002475940658502
freiburg1_room_reinhard_ape.zip,0.6446342376813231,0.5844222056409236,0.5437015753866419,0.2720367363882652,0.1189403263960618,1.216882984284389,141.28812213293338
freiburg1_xyz_baseline_ape.zip,0.0095288578476241,0.007594510768685,0.0062234021131813,0.0057552183333524,0.0008304375987253,0.0284811430135148,0.00399516180273
freiburg1_xyz_clahe_ape.zip,0.0084611902766142,0.0073561028773982,0.0063788532436835,0.0041808481620605,0.0015156416884373,0.0209053373586669,0.0033648118221623
freiburg1_xyz_mertens_ape.zip,0.0086120689822124,0.0073872920204825,0.0061250351582831,0.0044266972743232,0.001303300804768,0.0181563469945036,0.0034858834112561
freiburg1_xyz_proposed_ape.zip,0.00770448025625,0.006509024707518,0.0058340006566108,0.0041220884725908,0.001241698103792,0.0196877745878335,0.0027305147368715
freiburg1_xyz_reinhard_ape.zip,0.0095520919720835,0.0080581737917741,0.0067291385177986,0.0051291613529607,0.0007378650085518,0.0209914022520826,0.0047446079742434
freiburg2_desk_baseline_ape.zip,0.0068814592482652,0.0064237943551258,0.0060616614633151,0.0024676603227729,0.000871283545201,0.0154873009931973,0.0104653403862031
freiburg2_desk_clahe_ape.zip,0.006469786640969,0.0058680587698368,0.0056773857467739,0.0027247064894044,0.0011887637039559,0.0209168808187387,0.0126830161714374
freiburg2_desk_mertens_ape.zip,0.0065822491329976,0.0060683450099243,0.0058228009970235,0.0025497436124784,0.0011170531774317,0.0156548142163271,0.0110048049268075
freiburg2_desk_proposed_ape.zip,0.0073697134980751,0.0065763758301328,0.0061563559709679,0.0033262528443512,0.00079951663934,0.0174301144331303,0.0147187354788456
freiburg2_desk_reinhard_ape.zip,0.0116405148487649,0.0105242932053428,0.0095959854106882,0.0049740163321293,0.0013829060854771,0.0254734905976724,0.0323848790406915
freiburg2_desk_with_person_baseline_ape.zip,0.0082340476257919,0.0074041540033697,0.0066052689868731,0.0036025052114042,0.000959828249403,0.0182557026700969,0.0145091016250155
freiburg2_desk_with_person_clahe_ape.zip,0.0085482406182704,0.0070389451615825,0.0064603426969776,0.0048503266570492,0.0009083684218228,0.0647967731241107,0.0179027423286229
freiburg2_desk_with_person_mertens_ape.zip,0.0060533026913916,0.0053674600262559,0.0049051812906946,0.0027987222692068,0.000187103955445,0.0178493278105663,0.0092705457888233
freiburg2_desk_with_person_proposed_ape.zip,0.0064743974131061,0.0057856736408094,0.0053429227040981,0.0029058221530021,0.000805121622804,0.0201929156156853,0.0101021950689432
freiburg2_desk_with_person_reinhard_ape.zip,0.0060518137370041,0.0053756671931857,0.0046784839988623,0.0027796855461541,0.0005405167597016,0.0189991356235268,0.0088631167807889
freiburg2_large_with_loop_baseline_ape.zip,0.1015468621057983,0.0849168430507341,0.0764041497254006,0.0556856801146489,0.0111049156746496,0.2803678640623292,1.3095941808488212
freiburg2_large_with_loop_clahe_ape.zip,0.0599226867627675,0.0535781665567425,0.0478133235814877,0.02683483663611,0.0129396763558706,0.1315108896187635,0.3949801227755631
freiburg2_large_with_loop_mertens_ape.zip,0.057937415364871,0.0523142092769899,0.0470642197471839,0.0248991487180765,0.0146720851643178,0.1290837618302042,0.3491013863128053
freiburg2_large_with_loop_proposed_ape.zip,0.056856799690675,0.0490242625156694,0.044754735976542,0.028797870682748,0.0053826274501478,0.1504638633883739,0.1551693922111464
freiburg2_large_with_loop_reinhard_ape.zip,0.0630044906859675,0.0574629501474422,0.0529970100273127,0.025837476791489,0.0176968035329033,0.1456175295567708,0.3652000578870317
freiburg3_long_office_household_baseline_ape.zip,0.0119540845797033,0.010713343732284,0.0098794109516382,0.0053032446872297,0.0009929919699089,0.0330093668546739,0.0487289471052967
freiburg3_long_office_household_clahe_ape.zip,0.0136677943944188,0.0122658222079851,0.0113332256180675,0.0060297768756566,0.002778410626527,0.0455411996090078,0.0793936565334452
freiburg3_long_office_household_mertens_ape.zip,0.0104289963739241,0.0096712971590905,0.0094717307297234,0.0039025602657601,0.0008318011241397,0.0214608890663896,0.0476386168308877
